Sequence.Name,SYMBOL,Sequence.Description,Enzyme.Code
AT5G54690,LGT6,Encodes a protein with  putative galacturonosyltransferase activity. Mutants defective in this gene displayed a notable reduction in xylose (>50%) in the cell walls from stems and roots and a reduction in cellulose (~25%).,EC:2.4.1.43
AT5G54810,ATTSB1,A.thaliana tryptophan synthase beta subunit (trpB),EC:4.2.1.20
AT5G54810,TRP2,A.thaliana tryptophan synthase beta subunit (trpB),EC:4.2.1.20
AT5G54810,TRPB,A.thaliana tryptophan synthase beta subunit (trpB),EC:4.2.1.20
AT5G54810,TSB1,A.thaliana tryptophan synthase beta subunit (trpB),EC:4.2.1.20
AT5G54960,PDC2,pyruvate decarboxylase-2,EC:4.1.1.1
AT5G55070,E2-OGDH2,NA,EC:2.3.1.61
AT5G55120,VTC5,"Encodes a GDP-L-galactose phosphorylase, with similar biochemical properties as VTC2.",EC:2.7.7.69
AT5G55290,VHA-e1,NA,EC:3.6.3.14
AT5G55720,NA,NA,EC:4.2.2.2
AT5G55810,AtNMNAT,encodes a bi-functional enzyme that expresses both nicotinamide-nucleotide adenylyltransferase (2.7.7.1) and nicotinate-nucleotide adenylyltransferase (2.7.7.18)activity.,EC:2.7.7.18
AT5G55810,AtNMNAT,encodes a bi-functional enzyme that expresses both nicotinamide-nucleotide adenylyltransferase (2.7.7.1) and nicotinate-nucleotide adenylyltransferase (2.7.7.18)activity.,EC:2.7.7.1
AT5G55810,NMNAT,encodes a bi-functional enzyme that expresses both nicotinamide-nucleotide adenylyltransferase (2.7.7.1) and nicotinate-nucleotide adenylyltransferase (2.7.7.18)activity.,EC:2.7.7.18
AT5G55810,NMNAT,encodes a bi-functional enzyme that expresses both nicotinamide-nucleotide adenylyltransferase (2.7.7.1) and nicotinate-nucleotide adenylyltransferase (2.7.7.18)activity.,EC:2.7.7.1
AT5G56150,UBC30,NA,EC:6.3.2.19
AT5G56350,NA,NA,EC:2.7.1.40
AT5G56630,PFK7,NA,EC:2.7.1.11
AT5G56640,MIOX5,Myo-Inositol Oxygenase gene family,EC:1.13.99.1
AT5G56680,EMB2755,Encodes a putative cytosolic asparaginyl-tRNA synthetase.,EC:6.1.1.22
AT5G56680,SYNC1,Encodes a putative cytosolic asparaginyl-tRNA synthetase.,EC:6.1.1.22
AT5G56720,c-NAD-MDH3,NA,EC:1.1.1.37
AT5G56760,ATSERAT1;1,Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis. Expressed in the vascular system.,EC:2.3.1.30
AT5G56760,SAT-52,Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis. Expressed in the vascular system.,EC:2.3.1.30
AT5G56760,SAT5,Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis. Expressed in the vascular system.,EC:2.3.1.30
AT5G56760,SERAT1;1,Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis. Expressed in the vascular system.,EC:2.3.1.30
AT5G56970,ATCKX3,"It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins.",EC:1.5.99.12
AT5G56970,CKX3,"It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins.",EC:1.5.99.12
AT5G57030,LUT2,"Lutein-deficient 2 (LUT2) required for lutein biosynthesis, member of the xanthophyll class of carotenoids. Encodes lycopene epsilon cyclase",EC:1.14
AT5G57050,ABI2,Encodes a protein phosphatase 2C and is involved in ABA signal transduction. Binds fibrillin preprotein in vitro and in vivo.,EC:3.1.3.16
AT5G57050,AtABI2,Encodes a protein phosphatase 2C and is involved in ABA signal transduction. Binds fibrillin preprotein in vitro and in vivo.,EC:3.1.3.16
AT5G57160,ATLIG4,"Encodes the Arabidopsis orthologue of the yeast and mammalian DNA ligase IV.  Involved in the repair of DNA damage but, unlike in yeast, not required for T-DNA integration.  Interacts with the Arabidopsis homologue of XRCC4.",EC:6.5.1.1
AT5G57160,LIG4,"Encodes the Arabidopsis orthologue of the yeast and mammalian DNA ligase IV.  Involved in the repair of DNA damage but, unlike in yeast, not required for T-DNA integration.  Interacts with the Arabidopsis homologue of XRCC4.",EC:6.5.1.1
AT5G57220,CYP81F2,"member of CYP81F, involved in glucosinolate metabolism. Mutants had impaired resistance to fungi.",EC:1.14
AT5G57260,CYP71B10,putative cytochrome P450,EC:1.14
AT5G57300,COQ5,NA,EC:2.1.1
AT5G57330,NA,NA,EC:5.1.3.15
AT5G57350,AHA3,member of Plasma membrane H+-ATPase family,EC:3.6.3.6
AT5G57350,ATAHA3,member of Plasma membrane H+-ATPase family,EC:3.6.3.6
AT5G57350,HA3,member of Plasma membrane H+-ATPase family,EC:3.6.3.6
AT5G57560,AtXTH22,"Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli",EC:2.4.1.207
AT5G57560,TCH4,"Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli",EC:2.4.1.207
AT5G57560,XTH22,"Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli",EC:2.4.1.207
AT5G57590,BIO1,"Mutant complemented by E coli Bio A gene encoding 7,8-diaminopelargonic acid aminotransferase.",EC:2.6.1.62
AT5G57590,BIO3,"Mutant complemented by E coli Bio A gene encoding 7,8-diaminopelargonic acid aminotransferase.",EC:2.6.1.62
AT5G57655,NA,NA,EC:5.3.1.5
AT5G57815,NA,NA,EC:1.9.3.1
AT5G57850,ADCL,NA,EC:2.6.1.42
AT5G57850,DAT1,NA,EC:2.6.1.42
AT5G57890,ASB2,NA,EC:4.1.3.27
AT5G57970,NA,NA,EC:3.2.2.20
AT5G58220,ALNS,"Encodes a transthyretin-like S-allantoin synthase protein that catalyzes two steps in the allantoin biosynthesis pathway by acting as a hydroxyisourate hydrolase and a 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase. Two alternatively spliced versions of the transcript give rise to a longer peroxisomally-targeted protein (AT5G58220.1  (called TTL1-)) and a slightly shorter cytoplasmic protein (AT5G58220.3 (called TTL2-)). Both have roughly equivalent enzymatic activity in vitro, but, allantoin biosynthesis is believed to occur in the peroxisome suggesting that the cytosolic form may participate in a different process.",EC:4.1.1
AT5G58220,ALNS,"Encodes a transthyretin-like S-allantoin synthase protein that catalyzes two steps in the allantoin biosynthesis pathway by acting as a hydroxyisourate hydrolase and a 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase. Two alternatively spliced versions of the transcript give rise to a longer peroxisomally-targeted protein (AT5G58220.1  (called TTL1-)) and a slightly shorter cytoplasmic protein (AT5G58220.3 (called TTL2-)). Both have roughly equivalent enzymatic activity in vitro, but, allantoin biosynthesis is believed to occur in the peroxisome suggesting that the cytosolic form may participate in a different process.",EC:3.5.2.17
AT5G58220,TTL,"Encodes a transthyretin-like S-allantoin synthase protein that catalyzes two steps in the allantoin biosynthesis pathway by acting as a hydroxyisourate hydrolase and a 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase. Two alternatively spliced versions of the transcript give rise to a longer peroxisomally-targeted protein (AT5G58220.1  (called TTL1-)) and a slightly shorter cytoplasmic protein (AT5G58220.3 (called TTL2-)). Both have roughly equivalent enzymatic activity in vitro, but, allantoin biosynthesis is believed to occur in the peroxisome suggesting that the cytosolic form may participate in a different process.",EC:4.1.1
AT5G58220,TTL,"Encodes a transthyretin-like S-allantoin synthase protein that catalyzes two steps in the allantoin biosynthesis pathway by acting as a hydroxyisourate hydrolase and a 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase. Two alternatively spliced versions of the transcript give rise to a longer peroxisomally-targeted protein (AT5G58220.1  (called TTL1-)) and a slightly shorter cytoplasmic protein (AT5G58220.3 (called TTL2-)). Both have roughly equivalent enzymatic activity in vitro, but, allantoin biosynthesis is believed to occur in the peroxisome suggesting that the cytosolic form may participate in a different process.",EC:3.5.2.17
AT5G58240,FHIT,Encodes a Fhit protein. Has nucleoside phosphoramidase and adenylylsulfatase activities.,EC:3.6.1.29
AT5G58390,NA,NA,EC:1.11.1.7
AT5G58400,NA,NA,EC:1.11.1.7
AT5G58670,ATPLC,"phosphatidylinositol-specific phospholipase C is induced to a significant extent under various environmental stresses, such as dehydration, salinity, and low temperature. May play a role in secondary ABA response.  There are two genes called ATPLC1, one corresponding to AT4g38530 and one corresponding ot AT5g58670 (this one).",EC:3.1.4.11
AT5G58670,ATPLC1,"phosphatidylinositol-specific phospholipase C is induced to a significant extent under various environmental stresses, such as dehydration, salinity, and low temperature. May play a role in secondary ABA response.  There are two genes called ATPLC1, one corresponding to AT4g38530 and one corresponding ot AT5g58670 (this one).",EC:3.1.4.11
AT5G58670,PLC1,"phosphatidylinositol-specific phospholipase C is induced to a significant extent under various environmental stresses, such as dehydration, salinity, and low temperature. May play a role in secondary ABA response.  There are two genes called ATPLC1, one corresponding to AT4g38530 and one corresponding ot AT5g58670 (this one).",EC:3.1.4.11
AT5G58690,ATPLC5,NA,EC:3.1.4.11
AT5G58690,PLC5,NA,EC:3.1.4.11
AT5G58700,ATPLC4,NA,EC:3.1.4.11
AT5G58700,PLC4,NA,EC:3.1.4.11
AT5G58770,AtcPT4,NA,EC:2.5.1
AT5G58770,AtCPT7,NA,EC:2.5.1
AT5G58770,cPT4,NA,EC:2.5.1
AT5G58770,CPT7,NA,EC:2.5.1
AT5G58780,AtcPT5,NA,EC:2.5.1
AT5G58780,AtHEPS,NA,EC:2.5.1
AT5G58780,cPT5,NA,EC:2.5.1
AT5G58780,HEPS,NA,EC:2.5.1
AT5G58782,AtcPT6,NA,EC:2.5.1
AT5G58782,cPT6,NA,EC:2.5.1
AT5G58784,NA,NA,EC:2.5.1
AT5G58860,CYP86,Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue.,EC:1.14
AT5G58860,CYP86A1,Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue.,EC:1.14
AT5G58860,HORST,Encodes a member of the CYP86A subfamily of cytochrome p450 genes.  Expressed significantly only in root tissue.,EC:1.14
AT5G59220,HAI1,NA,EC:3.1.3.16
AT5G59220,SAG113,NA,EC:3.1.3.16
AT5G59300,ATUBC7,ubiquitin conjugating enzyme E2,EC:6.3.2.19
AT5G59300,UBC7,ubiquitin conjugating enzyme E2,EC:6.3.2.19
AT5G59440,ATTMPK.1,Encodes thymidylate kinase which exists in two isoforms in plants. The longer variant of  263 amino acids with a N-terminal extension that is required for localization to the mitochondrion. The second isoform of 224 residues is localized to the cytoplasm and nucleoplasm. Peak of expression occurs during G1/S phase transition.,EC:2.7.4.9
AT5G59440,ATTMPK.2,Encodes thymidylate kinase which exists in two isoforms in plants. The longer variant of  263 amino acids with a N-terminal extension that is required for localization to the mitochondrion. The second isoform of 224 residues is localized to the cytoplasm and nucleoplasm. Peak of expression occurs during G1/S phase transition.,EC:2.7.4.9
AT5G59440,ZEU1,Encodes thymidylate kinase which exists in two isoforms in plants. The longer variant of  263 amino acids with a N-terminal extension that is required for localization to the mitochondrion. The second isoform of 224 residues is localized to the cytoplasm and nucleoplasm. Peak of expression occurs during G1/S phase transition.,EC:2.7.4.9
AT5G59440,ZEUS1,Encodes thymidylate kinase which exists in two isoforms in plants. The longer variant of  263 amino acids with a N-terminal extension that is required for localization to the mitochondrion. The second isoform of 224 residues is localized to the cytoplasm and nucleoplasm. Peak of expression occurs during G1/S phase transition.,EC:2.7.4.9
AT5G59750,AtRIBA3,NA,EC:3.5.4.25
AT5G59750,AtRIBA3,NA,EC:4.1.99.12
AT5G59750,RIBA3,NA,EC:3.5.4.25
AT5G59750,RIBA3,NA,EC:4.1.99.12
AT5G59980,AtRPP30,NA,EC:3.1.26.5
AT5G59980,GAF1,NA,EC:3.1.26.5
AT5G59980,RPP30,NA,EC:3.1.26.5
AT5G60040,NRPC1,Encodes a subunit of RNA polymerase III (aka RNA polymerase C).,EC:2.7.7.6
AT5G60340,AAK6,NA,EC:2.7.4.3
AT5G60340,AK6,NA,EC:2.7.4.3
AT5G60500,AtcPT8,NA,EC:2.5.1
AT5G60500,cPT8,NA,EC:2.5.1
AT5G60510,AtcPT9,NA,EC:2.5.1
AT5G60510,cPT9,NA,EC:2.5.1
AT5G60540,ATPDX2,Encodes a protein predicted to function in tandem with PDX1 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. PDX2 is predicted to function as glutaminase within the complex.,EC:2.6
AT5G60540,EMB2407,Encodes a protein predicted to function in tandem with PDX1 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. PDX2 is predicted to function as glutaminase within the complex.,EC:2.6
AT5G60540,PDX2,Encodes a protein predicted to function in tandem with PDX1 to form glutamine amidotransferase complex with involved in vitamin B6 biosynthesis. PDX2 is predicted to function as glutaminase within the complex.,EC:2.6
AT5G60600,CLB4,"Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase.",EC:1.17.7.1
AT5G60600,CSB3,"Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase.",EC:1.17.7.1
AT5G60600,GCPE,"Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase.",EC:1.17.7.1
AT5G60600,HDS,"Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase.",EC:1.17.7.1
AT5G60600,ISPG,"Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase.",EC:1.17.7.1
AT5G60620,ATGPAT9,Glycerol-3-phosphate acyltransferase localized to the ER. Similar to mammalian cells involved in storage oil formation.,EC:2.3.1.15
AT5G60620,GPAT9,Glycerol-3-phosphate acyltransferase localized to the ER. Similar to mammalian cells involved in storage oil formation.,EC:2.3.1.15
AT5G60640,ATPDI2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.",EC:5.3.4.1
AT5G60640,ATPDIL1-4,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.",EC:5.3.4.1
AT5G60640,PDI2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.",EC:5.3.4.1
AT5G60640,PDIL1-4,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.",EC:5.3.4.1
AT5G61410,EMB2728,Arabidopsis thaliana ribulose-5-phosphate-3-epimerase mRNA,EC:5.1.3.1
AT5G61410,RPE,Arabidopsis thaliana ribulose-5-phosphate-3-epimerase mRNA,EC:5.1.3.1
AT5G61540,NA,NA,EC:3.5.1.26
AT5G61580,PFK4,NA,EC:2.7.1.11
AT5G62530,ALDH12A1,"Encodes mitochondrial Delta-pyrroline-5-  carboxylate dehydrogenase. Involved in the catabolism of proline to glutamate. Involved in protection from proline toxicity. Induced at pathogen infection sites. P5CDH and SRO5 (an overlapping gene in the sense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response.",EC:1.5.1.12
AT5G62530,ATP5CDH,"Encodes mitochondrial Delta-pyrroline-5-  carboxylate dehydrogenase. Involved in the catabolism of proline to glutamate. Involved in protection from proline toxicity. Induced at pathogen infection sites. P5CDH and SRO5 (an overlapping gene in the sense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response.",EC:1.5.1.12
AT5G62530,P5CDH,"Encodes mitochondrial Delta-pyrroline-5-  carboxylate dehydrogenase. Involved in the catabolism of proline to glutamate. Involved in protection from proline toxicity. Induced at pathogen infection sites. P5CDH and SRO5 (an overlapping gene in the sense orientation) generate 24-nt and 21-nt siRNAs, which together are components of a regulatory loop controlling reactive oxygen species (ROS) production and stress response.",EC:1.5.1.12
AT5G62540,UBC3,"Encodes a protein predicted to be an E2 ubiquitin conjugating enzyme. It appears homologous to the RAD6 protein in yeast implicated in histone ubiquitination, but, UBC3 has not been experimentally associated with this process.",EC:6.3.2.19
AT5G62670,AHA11,NA,EC:3.6.3.6
AT5G62670,HA11,NA,EC:3.6.3.6
AT5G62790,DXR,"1-Deoxy-d-xylulose 5-phosphate reductoisomerase (DXR) catalyzes the first committed step of the 2-C-methyl-d-erythritol 4-phosphate pathway for isoprenoid biosynthesis. In Arabidopsis, DXR is encoded by a single-copy gene. Arabidopsis  DXR is targeted to plastids and localizes into chloroplasts of leaf cells. DXR knockout or strongly silenced lines have a seedling lethal, albino phenotype. Transgenic, partially silenced lines expressing 35S:DXR have a variegated phenotype.",EC:1.1.1.267
AT5G62790,PDE129,"1-Deoxy-d-xylulose 5-phosphate reductoisomerase (DXR) catalyzes the first committed step of the 2-C-methyl-d-erythritol 4-phosphate pathway for isoprenoid biosynthesis. In Arabidopsis, DXR is encoded by a single-copy gene. Arabidopsis  DXR is targeted to plastids and localizes into chloroplasts of leaf cells. DXR knockout or strongly silenced lines have a seedling lethal, albino phenotype. Transgenic, partially silenced lines expressing 35S:DXR have a variegated phenotype.",EC:1.1.1.267
AT5G62980,FOLB2,"Encodes an enzyme that can act as a aldolase or an epimerase for 7,8-dihydroneopterin and  7,8-dihydromonapterin in vitro. It is likely to act in folate biosynthesis as a homooctamer in vivo.",EC:4.1.2.25
AT5G63180,NA,NA,EC:4.2.2.2
AT5G63290,AtHEMN1,NA,EC:1.3.99.22
AT5G63290,HEMN1,NA,EC:1.3.99.22
AT5G63310,ATNDPK2,"Maintains intracellular dNTP levels except ATP. Plays a role in response to oxidative stress and UV. Involved in phytochrome-mediated light signaling. Participates in auxin-regulated processes, partly through the modulation of auxin transport. H-bonding with His-197 inside the nucleotide-binding pocket is critical for NDPK2 functioning.",EC:2.7.4.6
AT5G63310,NDPK,"Maintains intracellular dNTP levels except ATP. Plays a role in response to oxidative stress and UV. Involved in phytochrome-mediated light signaling. Participates in auxin-regulated processes, partly through the modulation of auxin transport. H-bonding with His-197 inside the nucleotide-binding pocket is critical for NDPK2 functioning.",EC:2.7.4.6
AT5G63310,NDPK1A,"Maintains intracellular dNTP levels except ATP. Plays a role in response to oxidative stress and UV. Involved in phytochrome-mediated light signaling. Participates in auxin-regulated processes, partly through the modulation of auxin transport. H-bonding with His-197 inside the nucleotide-binding pocket is critical for NDPK2 functioning.",EC:2.7.4.6
AT5G63310,NDPK2,"Maintains intracellular dNTP levels except ATP. Plays a role in response to oxidative stress and UV. Involved in phytochrome-mediated light signaling. Participates in auxin-regulated processes, partly through the modulation of auxin transport. H-bonding with His-197 inside the nucleotide-binding pocket is critical for NDPK2 functioning.",EC:2.7.4.6
AT5G63400,ADK1,encodes a protein similar to adenylate kinase.,EC:2.7.4.3
AT5G63570,GSA1,"Encodes a protein with homology to glutamate-1-semialdehyde 2,1-aminomutase catalyzing the conversion of glutamate-1-semialdehyde (GSA) into 5-amino levulinate. The expression of this gene was demonstrated to be light-induced.",EC:5.4.3.8
AT5G63590,ATFLS3,NA,EC:1.14.11.23
AT5G63590,FLS3,NA,EC:1.14.11.23
AT5G63650,SNRK2-5,encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.,EC:2.7.11.1
AT5G63650,SNRK2.5,encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.,EC:2.7.11.1
AT5G63650,SRK2H,encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.,EC:2.7.11.1
AT5G63680,NA,NA,EC:2.7.1.40
AT5G63770,ATDGK2,a member of the diacylglycerol kinase gene family. Encodes a functional diacylglycerol kinase. Involved in root elongation and plant development. Gene expression is induced by wounding or cold.,EC:2.7.1.107
AT5G63770,DGK2,a member of the diacylglycerol kinase gene family. Encodes a functional diacylglycerol kinase. Involved in root elongation and plant development. Gene expression is induced by wounding or cold.,EC:2.7.1.107
AT5G63840,GSCIIalpha,radial swelling mutant shown to be specifically impaired in cellulose production. Encodes the alpha-subunit of a glucosidase II enzyme.,EC:3.2.1.84
AT5G63840,PSL5,radial swelling mutant shown to be specifically impaired in cellulose production. Encodes the alpha-subunit of a glucosidase II enzyme.,EC:3.2.1.84
AT5G63840,RSW3,radial swelling mutant shown to be specifically impaired in cellulose production. Encodes the alpha-subunit of a glucosidase II enzyme.,EC:3.2.1.84
AT5G63890,ATHDH,Encodes histidinol dehydrogenase. Up-regulated in response to UV-B.,EC:1.1.1.23
AT5G63890,HDH,Encodes histidinol dehydrogenase. Up-regulated in response to UV-B.,EC:1.1.1.23
AT5G63890,HISN8,Encodes histidinol dehydrogenase. Up-regulated in response to UV-B.,EC:1.1.1.23
AT5G63920,AtTOP3alpha,Encodes topoisomerase 3alpha.  Suppresses somatic crossovers.  Essential for resolution of meiotic recombination intermediates.,EC:5.99.1.2
AT5G63920,TOP3A,Encodes topoisomerase 3alpha.  Suppresses somatic crossovers.  Essential for resolution of meiotic recombination intermediates.,EC:5.99.1.2
AT5G63960,EMB2780,NA,EC:2.7.7.7
AT5G63960,GIS5,NA,EC:2.7.7.7
AT5G63980,ALX8,"Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity.",EC:3.1.3.7
AT5G63980,ALX8,"Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity.",EC:3.1.3.57
AT5G63980,AtFRY1,"Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity.",EC:3.1.3.7
AT5G63980,AtFRY1,"Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity.",EC:3.1.3.57
AT5G63980,ATSAL1,"Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity.",EC:3.1.3.7
